"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"2003"	"2003"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	21	151579	13.9
	"Colorado"	"08"	"2003"	"2003"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	62	521257	11.9
	"Colorado"	"08"	"2003"	"2003"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	12	117358	Unreliable
	"Colorado"	"08"	"2003"	"2003"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	85	597461	14.2
	"Colorado"	"08"	"2003"	"2003"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	86	596585	14.4
	"Colorado"	"08"	"2003"	"2003"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	48	370221	13.0
	"Colorado"	"08"	"2003"	"2003"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	39	211791	18.4
	"Colorado"	"08"	"2003"	"2003"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	19	139931	Unreliable
	"Colorado"	"08"	"2003"	"2003"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	21	48798	43.0
	"Colorado"	"08"	"2004"	"2004"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	32	155905	20.5
	"Colorado"	"08"	"2004"	"2004"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	68	509526	13.3
	"Colorado"	"08"	"2004"	"2004"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	30	155107	19.3
	"Colorado"	"08"	"2004"	"2004"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	68	518518	13.1
	"Colorado"	"08"	"2004"	"2004"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	12	120781	Unreliable
	"Colorado"	"08"	"2004"	"2004"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	84	587372	14.3
	"Colorado"	"08"	"2004"	"2004"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	103	605027	17.0
	"Colorado"	"08"	"2004"	"2004"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	67	391797	17.1
	"Colorado"	"08"	"2004"	"2004"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	29	215988	13.4
	"Colorado"	"08"	"2004"	"2004"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	34	142323	23.9
	"Colorado"	"08"	"2005"	"2005"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	34	158646	21.4
	"Colorado"	"08"	"2005"	"2005"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	64	511961	12.5
	"Colorado"	"08"	"2005"	"2005"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	25	157802	15.8
	"Colorado"	"08"	"2005"	"2005"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	67	509538	13.1
	"Colorado"	"08"	"2005"	"2005"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	15	124335	Unreliable
	"Colorado"	"08"	"2005"	"2005"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	87	581011	15.0
	"Colorado"	"08"	"2005"	"2005"	"45-54 years"	"45-54"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	11	86911	Unreliable
	"Colorado"	"08"	"2005"	"2005"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	75	615707	12.2
	"Colorado"	"08"	"2005"	"2005"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	64	416427	15.4
	"Colorado"	"08"	"2005"	"2005"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	32	221637	14.4
	"Colorado"	"08"	"2005"	"2005"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	35	144231	24.3
	"Colorado"	"08"	"2005"	"2005"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	13	52758	Unreliable
	"Colorado"	"08"	"2006"	"2006"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	40	161288	24.8
	"Colorado"	"08"	"2006"	"2006"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	81	516503	15.7
	"Colorado"	"08"	"2006"	"2006"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	18	161484	Unreliable
	"Colorado"	"08"	"2006"	"2006"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	57	511930	11.1
	"Colorado"	"08"	"2006"	"2006"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	11	129221	Unreliable
	"Colorado"	"08"	"2006"	"2006"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	70	577816	12.1
	"Colorado"	"08"	"2006"	"2006"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	81	625932	12.9
	"Colorado"	"08"	"2006"	"2006"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	64	441944	14.5
	"Colorado"	"08"	"2006"	"2006"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	30	230427	13.0
	"Colorado"	"08"	"2006"	"2006"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	22	147809	14.9
	"Colorado"	"08"	"2007"	"2007"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	25	164375	15.2
	"Colorado"	"08"	"2007"	"2007"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	47	514854	9.1
	"Colorado"	"08"	"2007"	"2007"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	25	165005	15.2
	"Colorado"	"08"	"2007"	"2007"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	65	519802	12.5
	"Colorado"	"08"	"2007"	"2007"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	78	573247	13.6
	"Colorado"	"08"	"2007"	"2007"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	92	633147	14.5
	"Colorado"	"08"	"2007"	"2007"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	66	467159	14.1
	"Colorado"	"08"	"2007"	"2007"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	27	240033	11.2
	"Colorado"	"08"	"2007"	"2007"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	31	149404	20.7
	"Colorado"	"08"	"2007"	"2007"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	16	58292	Unreliable
	"Colorado"	"08"	"2008"	"2008"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	27	168113	16.1
	"Colorado"	"08"	"2008"	"2008"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	55	515974	10.7
	"Colorado"	"08"	"2008"	"2008"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	17	168083	Unreliable
	"Colorado"	"08"	"2008"	"2008"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	60	532561	11.3
	"Colorado"	"08"	"2008"	"2008"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	16	137875	Unreliable
	"Colorado"	"08"	"2008"	"2008"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	66	565735	11.7
	"Colorado"	"08"	"2008"	"2008"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	110	636890	17.3
	"Colorado"	"08"	"2008"	"2008"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	66	490046	13.5
	"Colorado"	"08"	"2008"	"2008"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	33	253319	13.0
	"Colorado"	"08"	"2008"	"2008"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	34	150742	22.6
	"Colorado"	"08"	"2008"	"2008"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	12	60589	Unreliable
	"Colorado"	"08"	"2009"	"2009"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	24	171901	14.0
	"Colorado"	"08"	"2009"	"2009"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	71	515036	13.8
	"Colorado"	"08"	"2009"	"2009"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	13	169900	Unreliable
	"Colorado"	"08"	"2009"	"2009"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	79	545347	14.5
	"Colorado"	"08"	"2009"	"2009"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	15	142037	Unreliable
	"Colorado"	"08"	"2009"	"2009"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	90	558357	16.1
	"Colorado"	"08"	"2009"	"2009"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	102	637844	16.0
	"Colorado"	"08"	"2009"	"2009"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	83	514143	16.1
	"Colorado"	"08"	"2009"	"2009"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	37	267332	13.8
	"Colorado"	"08"	"2009"	"2009"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	31	151854	20.4
	"Colorado"	"08"	"2009"	"2009"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	17	63238	Unreliable
	"Colorado"	"08"	"2010"	"2010"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	19	175084	Unreliable
	"Colorado"	"08"	"2010"	"2010"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	70	513006	13.6
	"Colorado"	"08"	"2010"	"2010"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	13	171292	Unreliable
	"Colorado"	"08"	"2010"	"2010"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	87	554986	15.7
	"Colorado"	"08"	"2010"	"2010"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	13	145395	Unreliable
	"Colorado"	"08"	"2010"	"2010"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	76	554249	13.7
	"Colorado"	"08"	"2010"	"2010"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	98	635031	15.4
	"Colorado"	"08"	"2010"	"2010"	"55-64 years"	"55-64"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	11	66060	Unreliable
	"Colorado"	"08"	"2010"	"2010"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	84	531584	15.8
	"Colorado"	"08"	"2010"	"2010"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	31	277170	11.2
	"Colorado"	"08"	"2010"	"2010"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	26	153753	16.9
	"Colorado"	"08"	"2011"	"2011"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	10	476839	Unreliable
	"Colorado"	"08"	"2011"	"2011"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	22	181101	12.1
	"Colorado"	"08"	"2011"	"2011"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	54	518515	10.4
	"Colorado"	"08"	"2011"	"2011"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	29	174435	16.6
	"Colorado"	"08"	"2011"	"2011"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	83	571572	14.5
	"Colorado"	"08"	"2011"	"2011"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	70	551314	12.7
	"Colorado"	"08"	"2011"	"2011"	"45-54 years"	"45-54"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	15	111654	Unreliable
	"Colorado"	"08"	"2011"	"2011"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	105	622728	16.9
	"Colorado"	"08"	"2011"	"2011"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	87	558036	15.6
	"Colorado"	"08"	"2011"	"2011"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	39	292963	13.3
	"Colorado"	"08"	"2011"	"2011"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	28	156924	17.8
	"Colorado"	"08"	"2011"	"2011"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	10	68299	Unreliable
	"Colorado"	"08"	"2012"	"2012"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	24	183440	13.1
	"Colorado"	"08"	"2012"	"2012"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	62	521260	11.9
	"Colorado"	"08"	"2012"	"2012"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	29	176086	16.5
	"Colorado"	"08"	"2012"	"2012"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	109	585584	18.6
	"Colorado"	"08"	"2012"	"2012"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	17	153055	Unreliable
	"Colorado"	"08"	"2012"	"2012"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	85	554291	15.3
	"Colorado"	"08"	"2012"	"2012"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	122	611582	19.9
	"Colorado"	"08"	"2012"	"2012"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	113	567972	19.9
	"Colorado"	"08"	"2012"	"2012"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	47	320667	14.7
	"Colorado"	"08"	"2012"	"2012"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	26	160351	16.2
	"Colorado"	"08"	"2012"	"2012"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	14	70651	Unreliable
	"Colorado"	"08"	"2013"	"2013"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	25	188727	13.2
	"Colorado"	"08"	"2013"	"2013"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	61	525626	11.6
	"Colorado"	"08"	"2013"	"2013"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	24	178278	13.5
	"Colorado"	"08"	"2013"	"2013"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	72	601408	12.0
	"Colorado"	"08"	"2013"	"2013"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	15	155940	Unreliable
	"Colorado"	"08"	"2013"	"2013"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	91	558851	16.3
	"Colorado"	"08"	"2013"	"2013"	"45-54 years"	"45-54"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	14	116902	Unreliable
	"Colorado"	"08"	"2013"	"2013"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	101	600213	16.8
	"Colorado"	"08"	"2013"	"2013"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	100	579769	17.2
	"Colorado"	"08"	"2013"	"2013"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	49	345324	14.2
	"Colorado"	"08"	"2013"	"2013"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	33	164135	20.1
	"Colorado"	"08"	"2013"	"2013"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	11	73030	Unreliable
	"Colorado"	"08"	"2014"	"2014"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	27	194804	13.9
	"Colorado"	"08"	"2014"	"2014"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	78	531416	14.7
	"Colorado"	"08"	"2014"	"2014"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	22	181450	12.1
	"Colorado"	"08"	"2014"	"2014"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	90	617477	14.6
	"Colorado"	"08"	"2014"	"2014"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	18	160331	Unreliable
	"Colorado"	"08"	"2014"	"2014"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	88	562222	15.7
	"Colorado"	"08"	"2014"	"2014"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	89	593273	15.0
	"Colorado"	"08"	"2014"	"2014"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	89	590055	15.1
	"Colorado"	"08"	"2014"	"2014"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	60	367582	16.3
	"Colorado"	"08"	"2014"	"2014"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	49	168901	29.0
	"Colorado"	"08"	"2014"	"2014"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	23	75076	30.6
	"Colorado"	"08"	"2015"	"2015"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	25	200919	12.4
	"Colorado"	"08"	"2015"	"2015"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	95	537973	17.7
	"Colorado"	"08"	"2015"	"2015"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	21	185505	11.3
	"Colorado"	"08"	"2015"	"2015"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	112	637827	17.6
	"Colorado"	"08"	"2015"	"2015"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	12	165268	Unreliable
	"Colorado"	"08"	"2015"	"2015"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	89	568278	15.7
	"Colorado"	"08"	"2015"	"2015"	"45-54 years"	"45-54"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	11	124544	Unreliable
	"Colorado"	"08"	"2015"	"2015"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	108	589820	18.3
	"Colorado"	"08"	"2015"	"2015"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	94	601189	15.6
	"Colorado"	"08"	"2015"	"2015"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	57	388752	14.7
	"Colorado"	"08"	"2015"	"2015"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	40	173551	23.0
	"Colorado"	"08"	"2015"	"2015"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	14	77112	Unreliable
	"Colorado"	"08"	"2016"	"2016"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	31	204031	15.2
	"Colorado"	"08"	"2016"	"2016"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	91	540989	16.8
	"Colorado"	"08"	"2016"	"2016"	"25-34 years"	"25-34"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	33	188352	17.5
	"Colorado"	"08"	"2016"	"2016"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	134	654057	20.5
	"Colorado"	"08"	"2016"	"2016"	"35-44 years"	"35-44"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	24	167796	14.3
	"Colorado"	"08"	"2016"	"2016"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	108	574280	18.8
	"Colorado"	"08"	"2016"	"2016"	"45-54 years"	"45-54"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	17	128261	Unreliable
	"Colorado"	"08"	"2016"	"2016"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	121	589462	20.5
	"Colorado"	"08"	"2016"	"2016"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	110	611797	18.0
	"Colorado"	"08"	"2016"	"2016"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	71	410187	17.3
	"Colorado"	"08"	"2016"	"2016"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	37	178878	20.7
	"Colorado"	"08"	"2016"	"2016"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	15	78485	Unreliable
	"Connecticut"	"09"	"1999"	"1999"	"15-24 years"	"15-24"	"Hispanic or Latino"	"2135-2"	"Firearm"	"GRINJ-006"	16	56963	Unreliable
	"Connecticut"	"09"	"1999"	"1999"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	30	342093	8.8
	"Connecticut"	"09"	"1999"	"1999"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	34	404884	8.4
	"Connecticut"	"09"	"1999"	"1999"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	28	533241	5.3
	"Connecticut"	"09"	"1999"	"1999"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	31	441981	7.0
	"Connecticut"	"09"	"1999"	"1999"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	19	287850	Unreliable
	"Connecticut"	"09"	"1999"	"1999"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	15	226314	Unreliable
	"Connecticut"	"09"	"1999"	"1999"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	15	170072	Unreliable
	"Connecticut"	"09"	"2000"	"2000"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	28	344969	8.1
	"Connecticut"	"09"	"2000"	"2000"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	30	392751	7.6
	"Connecticut"	"09"	"2000"	"2000"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	25	532873	4.7
	"Connecticut"	"09"	"2000"	"2000"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	30	452253	6.6
	"Connecticut"	"09"	"2000"	"2000"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	18	293404	Unreliable
