state,year,type_variable,Statistics
RI,2001,Population,1057142
SC,2001,Population,4064995
SD,2001,Population,757972
TN,2001,Population,5750789
TX,2001,Population,21319622
UT,2001,Population,2283715
VA,2001,Population,7198362
VT,2001,Population,612223
WA,2001,Population,5985722
WI,2001,Population,5406835
WV,2001,Population,1801481
WY,2001,Population,494657
AK,2001,Law Strength (2016 only),44
AL,2001,Law Strength (2016 only),36
AR,2001,Law Strength (2016 only),39
AZ,2001,Law Strength (2016 only),47
CA,2001,Law Strength (2016 only),1
CO,2001,Law Strength (2016 only),15
CT,2001,Law Strength (2016 only),3
DE,2001,Law Strength (2016 only),11
FL,2001,Law Strength (2016 only),26
GA,2001,Law Strength (2016 only),32
HI,2001,Law Strength (2016 only),7
IA,2001,Law Strength (2016 only),18
ID,2001,Law Strength (2016 only),46
IL,2001,Law Strength (2016 only),8
IN,2001,Law Strength (2016 only),23
KS,2001,Law Strength (2016 only),48
KY,2001,Law Strength (2016 only),42
LA,2001,Law Strength (2016 only),43
MA,2001,Law Strength (2016 only),4
MD,2001,Law Strength (2016 only),6
ME,2001,Law Strength (2016 only),35
MI,2001,Law Strength (2016 only),16
MN,2001,Law Strength (2016 only),12
MO,2001,Law Strength (2016 only),48
MS,2001,Law Strength (2016 only),50
MT,2001,Law Strength (2016 only),37
NC,2001,Law Strength (2016 only),25
ND,2001,Law Strength (2016 only),37
NE,2001,Law Strength (2016 only),19
NH,2001,Law Strength (2016 only),31
NJ,2001,Law Strength (2016 only),2
NM,2001,Law Strength (2016 only),29
NV,2001,Law Strength (2016 only),22
NY,2001,Law Strength (2016 only),5
OH,2001,Law Strength (2016 only),21
OK,2001,Law Strength (2016 only),27
OR,2001,Law Strength (2016 only),14
PA,2001,Law Strength (2016 only),13
RI,2001,Law Strength (2016 only),9
SC,2001,Law Strength (2016 only),29
SD,2001,Law Strength (2016 only),40
TN,2001,Law Strength (2016 only),24
TX,2001,Law Strength (2016 only),32
UT,2001,Law Strength (2016 only),27
VA,2001,Law Strength (2016 only),20
VT,2001,Law Strength (2016 only),41
WA,2001,Law Strength (2016 only),10
WI,2001,Law Strength (2016 only),17
WV,2001,Law Strength (2016 only),32
WY,2001,Law Strength (2016 only),45
AK,2002,Unemployment Rate,7.3
AL,2002,Unemployment Rate,5.9
AR,2002,Unemployment Rate,5.475
AZ,2002,Unemployment Rate,6.1
CA,2002,Unemployment Rate,6.65
CO,2002,Unemployment Rate,5.525
CT,2002,Unemployment Rate,4.308
DC,2002,Unemployment Rate,6.4
DE,2002,Unemployment Rate,4.017
DS,2002,Unemployment Rate,5.803
FL,2002,Unemployment Rate,5.642
GA,2002,Unemployment Rate,5
HI,2002,Unemployment Rate,4.242
IA,2002,Unemployment Rate,4.008
ID,2002,Unemployment Rate,5.533
IL,2002,Unemployment Rate,6.533
IN,2002,Unemployment Rate,5.192
KS,2002,Unemployment Rate,5.058
KY,2002,Unemployment Rate,5.683
LA,2002,Unemployment Rate,6.158
MA,2002,Unemployment Rate,5.258
MD,2002,Unemployment Rate,4.433
ME,2002,Unemployment Rate,4.35
MI,2002,Unemployment Rate,6.275
MN,2002,Unemployment Rate,4.492
MO,2002,Unemployment Rate,5.375
MS,2002,Unemployment Rate,6.6
MT,2002,Unemployment Rate,4.4
NC,2002,Unemployment Rate,6.625
ND,2002,Unemployment Rate,3.742
NE,2002,Unemployment Rate,3.65
NH,2002,Unemployment Rate,4.467
NJ,2002,Unemployment Rate,5.783
NM,2002,Unemployment Rate,5.542
NV,2002,Unemployment Rate,5.617
NY,2002,Unemployment Rate,6.142
OH,2002,Unemployment Rate,5.75
OK,2002,Unemployment Rate,4.667
OR,2002,Unemployment Rate,7.508
PA,2002,Unemployment Rate,5.608
RI,2002,Unemployment Rate,4.983
SC,2002,Unemployment Rate,5.858
SD,2002,Unemployment Rate,3.192
TN,2002,Unemployment Rate,5.175
TX,2002,Unemployment Rate,6.367
UT,2002,Unemployment Rate,5.792
VA,2002,Unemployment Rate,4.225
VT,2002,Unemployment Rate,3.992
WA,2002,Unemployment Rate,7.383
WI,2002,Unemployment Rate,5.383
WV,2002,Unemployment Rate,5.917
WY,2002,Unemployment Rate,4.033
AK,2002,Crude Rate,19.8
AL,2002,Crude Rate,16.2
AR,2002,Crude Rate,16.3
AZ,2002,Crude Rate,17.9
CA,2002,Crude Rate,9.8
CO,2002,Crude Rate,11.5
CT,2002,Crude Rate,4.3
DC,2002,Crude Rate,34
DE,2002,Crude Rate,9.2
FL,2002,Crude Rate,11.3
GA,2002,Crude Rate,13.3
HI,2002,Crude Rate,2.9
IA,2002,Crude Rate,6.9
ID,2002,Crude Rate,12.2
IL,2002,Crude Rate,9.8
IN,2002,Crude Rate,11.7
KS,2002,Crude Rate,9.9
KY,2002,Crude Rate,13.3
LA,2002,Crude Rate,19.5
MA,2002,Crude Rate,3.2
MD,2002,Crude Rate,11.3
ME,2002,Crude Rate,6.8
MI,2002,Crude Rate,10.9
MN,2002,Crude Rate,6.1
MO,2002,Crude Rate,12.3
MS,2002,Crude Rate,17.2
MT,2002,Crude Rate,14.7
NC,2002,Crude Rate,13.6
ND,2002,Crude Rate,9.1
NE,2002,Crude Rate,8.1
NH,2002,Crude Rate,6
NJ,2002,Crude Rate,4.9
NM,2002,Crude Rate,16.4
NV,2002,Crude Rate,17
NY,2002,Crude Rate,5.2
OH,2002,Crude Rate,9.4
OK,2002,Crude Rate,13
OR,2002,Crude Rate,10.6
PA,2002,Crude Rate,9.9
RI,2002,Crude Rate,5.2
SC,2002,Crude Rate,13.8
SD,2002,Crude Rate,8
TN,2002,Crude Rate,15.6
TX,2002,Crude Rate,10.6
UT,2002,Crude Rate,8.9
VA,2002,Crude Rate,11.1
VT,2002,Crude Rate,10.1
WA,2002,Crude Rate,9.4
WI,2002,Crude Rate,8.2
WV,2002,Crude Rate,15
WY,2002,Crude Rate,19
AK,2002,Deaths,127
AL,2002,Deaths,724
AR,2002,Deaths,441
AZ,2002,Deaths,968
CA,2002,Deaths,3410
CO,2002,Deaths,517
CT,2002,Deaths,147
DC,2002,Deaths,195
DE,2002,Deaths,74
FL,2002,Deaths,1886
GA,2002,Deaths,1133
HI,2002,Deaths,36
IA,2002,Deaths,201
ID,2002,Deaths,163
IL,2002,Deaths,1231
IN,2002,Deaths,723
KS,2002,Deaths,268
KY,2002,Deaths,544
LA,2002,Deaths,876
MA,2002,Deaths,204
MD,2002,Deaths,615
ME,2002,Deaths,88
MI,2002,Deaths,1092
MN,2002,Deaths,306
MO,2002,Deaths,696
MS,2002,Deaths,492
MT,2002,Deaths,134
NC,2002,Deaths,1136
ND,2002,Deaths,58
NE,2002,Deaths,140
NH,2002,Deaths,76
NJ,2002,Deaths,415
NM,2002,Deaths,304
NV,2002,Deaths,370
NY,2002,Deaths,994
OH,2002,Deaths,1069
OK,2002,Deaths,452
OR,2002,Deaths,374
PA,2002,Deaths,1220
RI,2002,Deaths,55
SC,2002,Deaths,566
SD,2002,Deaths,61
TN,2002,Deaths,905
TX,2002,Deaths,2301
UT,2002,Deaths,207
VA,2002,Deaths,806
VT,2002,Deaths,62
WA,2002,Deaths,568
WI,2002,Deaths,446
WV,2002,Deaths,271
WY,2002,Deaths,95
AK,2002,Population,642337
AL,2002,Population,4480089
AR,2002,Population,2705927
AZ,2002,Population,5396255
CA,2002,Population,34871843
CO,2002,Population,4490406
CT,2002,Population,3458749
DC,2002,Population,573158
DE,2002,Population,806169
FL,2002,Population,16689370
GA,2002,Population,8508256
HI,2002,Population,1239613
IA,2002,Population,2934234
ID,2002,Population,1340372
IL,2002,Population,12525556
IN,2002,Population,6155967
KS,2002,Population,2713535
KY,2002,Population,4089875
LA,2002,Population,4497267
MA,2002,Population,6417206
MD,2002,Population,5440389
ME,2002,Population,1295960
MI,2002,Population,10015710
MN,2002,Population,5018935
MO,2002,Population,5674825
MS,2002,Population,2858681
MT,2002,Population,911667
NC,2002,Population,8326201
ND,2002,Population,638168
NE,2002,Population,1728292
NH,2002,Population,1269089
NJ,2002,Population,8552643
NM,2002,Population,1855309
NV,2002,Population,2173791
NY,2002,Population,19137800
OH,2002,Population,11407889
OK,2002,Population,3489080
OR,2002,Population,3513424
PA,2002,Population,12331031
RI,2002,Population,1065995
SC,2002,Population,4107795
SD,2002,Population,760020
TN,2002,Population,5795918
TX,2002,Population,21690325
UT,2002,Population,2324815
VA,2002,Population,7286873
VT,2002,Population,615442
WA,2002,Population,6052349
WI,2002,Population,5445162
WV,2002,Population,1805414
WY,2002,Population,500017
AK,2002,Law Strength (2016 only),44
AL,2002,Law Strength (2016 only),36
AR,2002,Law Strength (2016 only),39
AZ,2002,Law Strength (2016 only),47
CA,2002,Law Strength (2016 only),1
CO,2002,Law Strength (2016 only),15
CT,2002,Law Strength (2016 only),3
DE,2002,Law Strength (2016 only),11
FL,2002,Law Strength (2016 only),26
GA,2002,Law Strength (2016 only),32
HI,2002,Law Strength (2016 only),7
IA,2002,Law Strength (2016 only),18
ID,2002,Law Strength (2016 only),46
IL,2002,Law Strength (2016 only),8
IN,2002,Law Strength (2016 only),23
KS,2002,Law Strength (2016 only),48
KY,2002,Law Strength (2016 only),42
LA,2002,Law Strength (2016 only),43
MA,2002,Law Strength (2016 only),4
MD,2002,Law Strength (2016 only),6
ME,2002,Law Strength (2016 only),35
MI,2002,Law Strength (2016 only),16
MN,2002,Law Strength (2016 only),12
MO,2002,Law Strength (2016 only),48
MS,2002,Law Strength (2016 only),50
MT,2002,Law Strength (2016 only),37
NC,2002,Law Strength (2016 only),25
ND,2002,Law Strength (2016 only),37
NE,2002,Law Strength (2016 only),19
NH,2002,Law Strength (2016 only),31
NJ,2002,Law Strength (2016 only),2
NM,2002,Law Strength (2016 only),29
NV,2002,Law Strength (2016 only),22
NY,2002,Law Strength (2016 only),5
OH,2002,Law Strength (2016 only),21
OK,2002,Law Strength (2016 only),27
OR,2002,Law Strength (2016 only),14
PA,2002,Law Strength (2016 only),13
RI,2002,Law Strength (2016 only),9
SC,2002,Law Strength (2016 only),29
SD,2002,Law Strength (2016 only),40
TN,2002,Law Strength (2016 only),24
TX,2002,Law Strength (2016 only),32
UT,2002,Law Strength (2016 only),27
VA,2002,Law Strength (2016 only),20
VT,2002,Law Strength (2016 only),41
WA,2002,Law Strength (2016 only),10
WI,2002,Law Strength (2016 only),17
WV,2002,Law Strength (2016 only),32
WY,2002,Law Strength (2016 only),45
AK,2003,Unemployment Rate,7.817
AL,2003,Unemployment Rate,6.025
AR,2003,Unemployment Rate,5.933
AZ,2003,Unemployment Rate,5.767
CA,2003,Unemployment Rate,6.8
CO,2003,Unemployment Rate,5.95
CT,2003,Unemployment Rate,5.408
DC,2003,Unemployment Rate,6.833
DE,2003,Unemployment Rate,4.242
DS,2003,Unemployment Rate,6.051
FL,2003,Unemployment Rate,5.225
GA,2003,Unemployment Rate,4.825
HI,2003,Unemployment Rate,4.125
IA,2003,Unemployment Rate,4.492
ID,2003,Unemployment Rate,5.6
IL,2003,Unemployment Rate,6.758
IN,2003,Unemployment Rate,5.3
KS,2003,Unemployment Rate,5.508
KY,2003,Unemployment Rate,6.133
LA,2003,Unemployment Rate,6.425
MA,2003,Unemployment Rate,5.717
MD,2003,Unemployment Rate,4.425
ME,2003,Unemployment Rate,4.958
MI,2003,Unemployment Rate,7.175
MN,2003,Unemployment Rate,4.883
MO,2003,Unemployment Rate,5.625
MS,2003,Unemployment Rate,6.3
MT,2003,Unemployment Rate,4.708
NC,2003,Unemployment Rate,6.383
ND,2003,Unemployment Rate,3.717
NE,2003,Unemployment Rate,3.942
NH,2003,Unemployment Rate,4.333
NJ,2003,Unemployment Rate,5.833
NM,2003,Unemployment Rate,5.842
NV,2003,Unemployment Rate,5.075
NY,2003,Unemployment Rate,6.392
OH,2003,Unemployment Rate,6.25
OK,2003,Unemployment Rate,5.442
OR,2003,Unemployment Rate,8.142
PA,2003,Unemployment Rate,5.667
RI,2003,Unemployment Rate,5.333
SC,2003,Unemployment Rate,6.9
SD,2003,Unemployment Rate,3.533
TN,2003,Unemployment Rate,5.625
TX,2003,Unemployment Rate,6.692
UT,2003,Unemployment Rate,5.65
VA,2003,Unemployment Rate,4.125
VT,2003,Unemployment Rate,4.3
WA,2003,Unemployment Rate,7.417
WI,2003,Unemployment Rate,5.7
WV,2003,Unemployment Rate,6.042
WY,2003,Unemployment Rate,4.267
AK,2003,Crude Rate,18.5
AL,2003,Crude Rate,17
AR,2003,Crude Rate,15.2
AZ,2003,Crude Rate,15.4
CA,2003,Crude Rate,9.8
CO,2003,Crude Rate,11.1
CT,2003,Crude Rate,4.4
DC,2003,Crude Rate,29.4
DE,2003,Crude Rate,7.9
FL,2003,Crude Rate,11.4
GA,2003,Crude Rate,13.6
HI,2003,Crude Rate,3
IA,2003,Crude Rate,7.1
ID,2003,Crude Rate,12
IL,2003,Crude Rate,9.1
IN,2003,Crude Rate,11.2
KS,2003,Crude Rate,11.2
KY,2003,Crude Rate,13.6
LA,2003,Crude Rate,18.7
MA,2003,Crude Rate,3.2
MD,2003,Crude Rate,11.8
ME,2003,Crude Rate,6.3
MI,2003,Crude Rate,10.3
MN,2003,Crude Rate,6.6
MO,2003,Crude Rate,11.5
MS,2003,Crude Rate,16.6
MT,2003,Crude Rate,15.8
NC,2003,Crude Rate,12.5
ND,2003,Crude Rate,9.1
NE,2003,Crude Rate,7.7
NH,2003,Crude Rate,7
NJ,2003,Crude Rate,5.3
NM,2003,Crude Rate,17.4
NV,2003,Crude Rate,16.6
NY,2003,Crude Rate,5.4
OH,2003,Crude Rate,8.2
OK,2003,Crude Rate,12.8
OR,2003,Crude Rate,11.1
PA,2003,Crude Rate,9.9
RI,2003,Crude Rate,3.3
SC,2003,Crude Rate,14.3
SD,2003,Crude Rate,10
TN,2003,Crude Rate,14.3
TX,2003,Crude Rate,11
UT,2003,Crude Rate,9.7
VA,2003,Crude Rate,11
VT,2003,Crude Rate,7.8
WA,2003,Crude Rate,9.3
WI,2003,Crude Rate,8.5
WV,2003,Crude Rate,14.6
WY,2003,Crude Rate,17.7
AK,2003,Deaths,120
AL,2003,Deaths,765
AR,2003,Deaths,413
AZ,2003,Deaths,849
CA,2003,Deaths,3468
CO,2003,Deaths,501
CT,2003,Deaths,153
DC,2003,Deaths,167
DE,2003,Deaths,65
FL,2003,Deaths,1940
GA,2003,Deaths,1173
HI,2003,Deaths,37
IA,2003,Deaths,208
ID,2003,Deaths,164
IL,2003,Deaths,1146
IN,2003,Deaths,696
KS,2003,Deaths,304
KY,2003,Deaths,560
LA,2003,Deaths,847
MA,2003,Deaths,204
MD,2003,Deaths,648
ME,2003,Deaths,82
MI,2003,Deaths,1030
MN,2003,Deaths,332
MO,2003,Deaths,657
MS,2003,Deaths,477
MT,2003,Deaths,145
NC,2003,Deaths,1055
ND,2003,Deaths,58
NE,2003,Deaths,134
NH,2003,Deaths,89
NJ,2003,Deaths,458
NM,2003,Deaths,326
NV,2003,Deaths,374
NY,2003,Deaths,1034
OH,2003,Deaths,934
OK,2003,Deaths,449
OR,2003,Deaths,395
PA,2003,Deaths,1230
RI,2003,Deaths,35
SC,2003,Deaths,593
SD,2003,Deaths,76
TN,2003,Deaths,837
TX,2003,Deaths,2432
UT,2003,Deaths,230
VA,2003,Deaths,811
VT,2003,Deaths,48
WA,2003,Deaths,565
WI,2003,Deaths,468
WV,2003,Deaths,265
WY,2003,Deaths,89
AK,2003,Population,648414
AL,2003,Population,4503491
AR,2003,Population,2724816
AZ,2003,Population,5510364
CA,2003,Population,35253159
CO,2003,Population,4528732
CT,2003,Population,3484336
DC,2003,Population,568502
DE,2003,Population,818003
FL,2003,Population,17004085
GA,2003,Population,8622793
HI,2003,Population,1251154
IA,2003,Population,2941999
ID,2003,Population,1363380
IL,2003,Population,12556006
IN,2003,Population,6196638
KS,2003,Population,2723004
KY,2003,Population,4117170
LA,2003,Population,4521042
MA,2003,Population,6422565
MD,2003,Population,5496269
ME,2003,Population,1306513
MI,2003,Population,10041152
MN,2003,Population,5053572
MO,2003,Population,5709403
MS,2003,Population,2868312
MT,2003,Population,919630
NC,2003,Population,8422501
ND,2003,Population,638817
NE,2003,Population,1738643
NH,2003,Population,1279840
NJ,2003,Population,8601402
NM,2003,Population,1877574
NV,2003,Population,2248850
NY,2003,Population,19175939
OH,2003,Population,11434788
OK,2003,Population,3504892
OR,2003,Population,3547376
PA,2003,Population,12374658
RI,2003,Population,1071342
SC,2003,Population,4150297
SD,2003,Population,763729
TN,2003,Population,5847812
TX,2003,Population,22030931
UT,2003,Population,2360137
VA,2003,Population,7366977
VT,2003,Population,617858
WA,2003,Population,6104115
WI,2003,Population,5479203
WV,2003,Population,1812295
WY,2003,Population,503453
AK,2003,Law Strength (2016 only),44
AL,2003,Law Strength (2016 only),36
AR,2003,Law Strength (2016 only),39
AZ,2003,Law Strength (2016 only),47
CA,2003,Law Strength (2016 only),1
CO,2003,Law Strength (2016 only),15
CT,2003,Law Strength (2016 only),3
DE,2003,Law Strength (2016 only),11
FL,2003,Law Strength (2016 only),26
GA,2003,Law Strength (2016 only),32
HI,2003,Law Strength (2016 only),7
IA,2003,Law Strength (2016 only),18
ID,2003,Law Strength (2016 only),46
IL,2003,Law Strength (2016 only),8
IN,2003,Law Strength (2016 only),23
KS,2003,Law Strength (2016 only),48
KY,2003,Law Strength (2016 only),42
LA,2003,Law Strength (2016 only),43
MA,2003,Law Strength (2016 only),4
MD,2003,Law Strength (2016 only),6
ME,2003,Law Strength (2016 only),35
MI,2003,Law Strength (2016 only),16
MN,2003,Law Strength (2016 only),12
MO,2003,Law Strength (2016 only),48
MS,2003,Law Strength (2016 only),50
MT,2003,Law Strength (2016 only),37
NC,2003,Law Strength (2016 only),25
ND,2003,Law Strength (2016 only),37
NE,2003,Law Strength (2016 only),19
NH,2003,Law Strength (2016 only),31
NJ,2003,Law Strength (2016 only),2
NM,2003,Law Strength (2016 only),29
NV,2003,Law Strength (2016 only),22
NY,2003,Law Strength (2016 only),5
OH,2003,Law Strength (2016 only),21
OK,2003,Law Strength (2016 only),27
OR,2003,Law Strength (2016 only),14
PA,2003,Law Strength (2016 only),13
RI,2003,Law Strength (2016 only),9
SC,2003,Law Strength (2016 only),29
SD,2003,Law Strength (2016 only),40
TN,2003,Law Strength (2016 only),24
TX,2003,Law Strength (2016 only),32
UT,2003,Law Strength (2016 only),27
VA,2003,Law Strength (2016 only),20
VT,2003,Law Strength (2016 only),41
WA,2003,Law Strength (2016 only),10
WI,2003,Law Strength (2016 only),17
WV,2003,Law Strength (2016 only),32
WY,2003,Law Strength (2016 only),45
AK,2004,Unemployment Rate,7.45
AL,2004,Unemployment Rate,5.7
AR,2004,Unemployment Rate,5.7
AZ,2004,Unemployment Rate,5.042
CA,2004,Unemployment Rate,6.208
CO,2004,Unemployment Rate,5.475
CT,2004,Unemployment Rate,4.958
DC,2004,Unemployment Rate,7.783
DE,2004,Unemployment Rate,3.992
DS,2004,Unemployment Rate,5.8
FL,2004,Unemployment Rate,4.608
GA,2004,Unemployment Rate,4.758
HI,2004,Unemployment Rate,3.392
IA,2004,Unemployment Rate,4.492
ID,2004,Unemployment Rate,4.933
IL,2004,Unemployment Rate,6.192
IN,2004,Unemployment Rate,5.358
KS,2004,Unemployment Rate,5.45
KY,2004,Unemployment Rate,5.408
LA,2004,Unemployment Rate,5.917
MA,2004,Unemployment Rate,5.142
MD,2004,Unemployment Rate,4.242
ME,2004,Unemployment Rate,4.642
MI,2004,Unemployment Rate,7.017
MN,2004,Unemployment Rate,4.675
MO,2004,Unemployment Rate,5.858
MS,2004,Unemployment Rate,6.158
MT,2004,Unemployment Rate,4.767
NC,2004,Unemployment Rate,5.475
ND,2004,Unemployment Rate,3.408
NE,2004,Unemployment Rate,3.858
NH,2004,Unemployment Rate,3.775
NJ,2004,Unemployment Rate,4.842
NM,2004,Unemployment Rate,5.517
NV,2004,Unemployment Rate,4.3
NY,2004,Unemployment Rate,5.808
OH,2004,Unemployment Rate,6.258
OK,2004,Unemployment Rate,4.858
OR,2004,Unemployment Rate,7.283
PA,2004,Unemployment Rate,5.425
RI,2004,Unemployment Rate,5.158
SC,2004,Unemployment Rate,6.825
SD,2004,Unemployment Rate,3.717
TN,2004,Unemployment Rate,5.358
TX,2004,Unemployment Rate,5.942
UT,2004,Unemployment Rate,4.967
VA,2004,Unemployment Rate,3.8
VT,2004,Unemployment Rate,3.667
WA,2004,Unemployment Rate,6.258
WI,2004,Unemployment Rate,5.025
WV,2004,Unemployment Rate,5.317
WY,2004,Unemployment Rate,3.817
AK,2004,Crude Rate,17.7
AL,2004,Crude Rate,15
AR,2004,Crude Rate,14.8
AZ,2004,Crude Rate,15.9
CA,2004,Crude Rate,9.3
CO,2004,Crude Rate,12.1
CT,2004,Crude Rate,4.9
DC,2004,Crude Rate,25.2
DE,2004,Crude Rate,9
FL,2004,Crude Rate,10.9
GA,2004,Crude Rate,12.1
HI,2004,Crude Rate,3.2
IA,2004,Crude Rate,6.6
ID,2004,Crude Rate,12.7
IL,2004,Crude Rate,7.9
IN,2004,Crude Rate,10.3
KS,2004,Crude Rate,10.8
KY,2004,Crude Rate,13.3
LA,2004,Crude Rate,19.8
MA,2004,Crude Rate,3.2
MD,2004,Crude Rate,11.8
ME,2004,Crude Rate,8.2
MI,2004,Crude Rate,10.4
MN,2004,Crude Rate,7.1
MO,2004,Crude Rate,11.6
MS,2004,Crude Rate,16.3
MT,2004,Crude Rate,13.4
NC,2004,Crude Rate,12.3
ND,2004,Crude Rate,7.8
NE,2004,Crude Rate,6.8
NH,2004,Crude Rate,5.3
NJ,2004,Crude Rate,5.3
NM,2004,Crude Rate,15.2
NV,2004,Crude Rate,16.7
NY,2004,Crude Rate,5
OH,2004,Crude Rate,9
OK,2004,Crude Rate,13
OR,2004,Crude Rate,10.8
PA,2004,Crude Rate,10.2
RI,2004,Crude Rate,3.8
SC,2004,Crude Rate,13.6
SD,2004,Crude Rate,10
TN,2004,Crude Rate,14.7
TX,2004,Crude Rate,10.5
UT,2004,Crude Rate,9.4
VA,2004,Crude Rate,10.9
VT,2004,Crude Rate,9.8
WA,2004,Crude Rate,9.2
WI,2004,Crude Rate,7.5
WV,2004,Crude Rate,13.9
WY,2004,Crude Rate,11
AK,2004,Deaths,117
AL,2004,Deaths,679
AR,2004,Deaths,406
AZ,2004,Deaths,897
CA,2004,Deaths,3316
CO,2004,Deaths,553
CT,2004,Deaths,173
DC,2004,Deaths,143
DE,2004,Deaths,75
FL,2004,Deaths,1890
GA,2004,Deaths,1062
HI,2004,Deaths,41
IA,2004,Deaths,195
ID,2004,Deaths,177
IL,2004,Deaths,994
IN,2004,Deaths,639
KS,2004,Deaths,294
KY,2004,Deaths,551
LA,2004,Deaths,902
MA,2004,Deaths,206
MD,2004,Deaths,656
ME,2004,Deaths,108
MI,2004,Deaths,1048
MN,2004,Deaths,363
MO,2004,Deaths,664
MS,2004,Deaths,471
MT,2004,Deaths,125
NC,2004,Deaths,1055
ND,2004,Deaths,50
NE,2004,Deaths,119
NH,2004,Deaths,69
NJ,2004,Deaths,454
NM,2004,Deaths,289
NV,2004,Deaths,392
NY,2004,Deaths,951
OH,2004,Deaths,1036
OK,2004,Deaths,457
OR,2004,Deaths,385
PA,2004,Deaths,1270
RI,2004,Deaths,41
SC,2004,Deaths,574
SD,2004,Deaths,77
TN,2004,Deaths,869
TX,2004,Deaths,2342
UT,2004,Deaths,225
VA,2004,Deaths,817
VT,2004,Deaths,61
WA,2004,Deaths,569
WI,2004,Deaths,413
WV,2004,Deaths,253
WY,2004,Deaths,56
AK,2004,Population,659286
AL,2004,Population,4530729
AR,2004,Population,2749686
AZ,2004,Population,5652404
CA,2004,Population,35574576
CO,2004,Population,4575013
CT,2004,Population,3496094
DC,2004,Population,567754
DE,2004,Population,830803
FL,2004,Population,17415318
GA,2004,Population,8769252
HI,2004,Population,1273569
IA,2004,Population,2953635
ID,2004,Population,1391802
IL,2004,Population,12589773
IN,2004,Population,6233007
KS,2004,Population,2734373
KY,2004,Population,4146101
LA,2004,Population,4552238
MA,2004,Population,6412281
MD,2004,Population,5546935
ME,2004,Population,1313688
MI,2004,Population,10055315
MN,2004,Population,5087713
MO,2004,Population,5747741
MS,2004,Population,2889010
MT,2004,Population,930009
NC,2004,Population,8553152
ND,2004,Population,644705
NE,2004,Population,1749370
NH,2004,Population,1290121
NJ,2004,Population,8634561
NM,2004,Population,1903808
NV,2004,Population,2346222
NY,2004,Population,19171567
OH,2004,Population,11452251
OK,2004,Population,3525233
OR,2004,Population,3569463
PA,2004,Population,12410722
RI,2004,Population,1074579
SC,2004,Population,4210921
SD,2004,Population,770396
TN,2004,Population,5910809
TX,2004,Population,22394023
UT,2004,Population,2401580
VA,2004,Population,7475575
VT,2004,Population,619920
WA,2004,Population,6178645
WI,2004,Population,5514026
WV,2004,Population,1816438
WY,2004,Population,509106
AK,2004,Law Strength (2016 only),44
AL,2004,Law Strength (2016 only),36
AR,2004,Law Strength (2016 only),39
AZ,2004,Law Strength (2016 only),47
CA,2004,Law Strength (2016 only),1
CO,2004,Law Strength (2016 only),15
CT,2004,Law Strength (2016 only),3
DE,2004,Law Strength (2016 only),11
FL,2004,Law Strength (2016 only),26
GA,2004,Law Strength (2016 only),32
HI,2004,Law Strength (2016 only),7
IA,2004,Law Strength (2016 only),18
ID,2004,Law Strength (2016 only),46
IL,2004,Law Strength (2016 only),8
IN,2004,Law Strength (2016 only),23
KS,2004,Law Strength (2016 only),48
KY,2004,Law Strength (2016 only),42
LA,2004,Law Strength (2016 only),43
MA,2004,Law Strength (2016 only),4
MD,2004,Law Strength (2016 only),6
ME,2004,Law Strength (2016 only),35
MI,2004,Law Strength (2016 only),16
MN,2004,Law Strength (2016 only),12
MO,2004,Law Strength (2016 only),48
MS,2004,Law Strength (2016 only),50
MT,2004,Law Strength (2016 only),37
NC,2004,Law Strength (2016 only),25
ND,2004,Law Strength (2016 only),37
NE,2004,Law Strength (2016 only),19
NH,2004,Law Strength (2016 only),31
NJ,2004,Law Strength (2016 only),2
NM,2004,Law Strength (2016 only),29
NV,2004,Law Strength (2016 only),22
NY,2004,Law Strength (2016 only),5
OH,2004,Law Strength (2016 only),21
OK,2004,Law Strength (2016 only),27
OR,2004,Law Strength (2016 only),14
PA,2004,Law Strength (2016 only),13
RI,2004,Law Strength (2016 only),9
SC,2004,Law Strength (2016 only),29
SD,2004,Law Strength (2016 only),40
TN,2004,Law Strength (2016 only),24
TX,2004,Law Strength (2016 only),32
UT,2004,Law Strength (2016 only),27
VA,2004,Law Strength (2016 only),20
VT,2004,Law Strength (2016 only),41
WA,2004,Law Strength (2016 only),10
WI,2004,Law Strength (2016 only),17
WV,2004,Law Strength (2016 only),32
WY,2004,Law Strength (2016 only),45
AK,2005,Unemployment Rate,6.883
AL,2005,Unemployment Rate,4.5
AR,2005,Unemployment Rate,5.225
AZ,2005,Unemployment Rate,4.667
CA,2005,Unemployment Rate,5.4
CO,2005,Unemployment Rate,5.025
CT,2005,Unemployment Rate,4.875
DC,2005,Unemployment Rate,6.383
DE,2005,Unemployment Rate,4.142
DS,2005,Unemployment Rate,5.733
FL,2005,Unemployment Rate,3.683
GA,2005,Unemployment Rate,5.325
HI,2005,Unemployment Rate,2.858
IA,2005,Unemployment Rate,4.25
ID,2005,Unemployment Rate,4.033
IL,2005,Unemployment Rate,5.683
IN,2005,Unemployment Rate,5.467
KS,2005,Unemployment Rate,5.008
KY,2005,Unemployment Rate,5.867
LA,2005,Unemployment Rate,7.125
MA,2005,Unemployment Rate,4.85
MD,2005,Unemployment Rate,4.125
ME,2005,Unemployment Rate,4.875
MI,2005,Unemployment Rate,6.783
MN,2005,Unemployment Rate,4.067
MO,2005,Unemployment Rate,5.375
